113;Matrix Revolutions;129;Action;2003;16;4;22.90;USA
114;Mein Name ist Eugen;100;Komödie;2004;6;5;29.90;CH
115;Meine Frau, ihre Schwiegereltern und ich;110;Komödie;2004;6;5;24.90;USA
116;Men in Black II;90;Komödie;2000;12;3;22.50;USA
117;Mindhunters;102;Action;2004;16;5;19.90;USA/NL/GB/FIN
118;Minority Report;145;Action;2002;12;4;24.90;USA
119;Mister Sister;91;Komödie;2000;6;3;14.90;USA
120;Monster AG, Die;92;Animationen;2001;6;4;22.50;USA
121;Mord ist mein Geschäft, Liebling;109;Komödie;2009;12;6;24.90;D
122;Mumie, Die;120;Abenteuer;1999;12;3;22.50;USA
123;München;157;Drama;2005;16;5;24.90;USA/CDN/F
124;My Big Fat Greek Wedding;92;Komödie;2002;0;4;12.50;USA/CDN
125;Nicht auflegen!;78;Drama;2002;16;4;19.90;USA
126;Nur noch 60 Sekunden;113;Action;2002;16;4;21.00;USA
127;Ocean's Eleven;112;Komödie;2001;12;4;24.90;USA
128;Old School - Wir lassen absolut nichts anbrennen;89;Komödie;1989;12;3;17.50;USA
129;Open Water;79;Drama;2003;12;4;21.00;USA
130;Panic Room;112;Thriller;2002;16;4;22.50;USA
131;Party Animals ...Wilder geht's nicht!;93;Komödie;2002;12;4;23.50;USA/D
132;Passion Christi, Die;127;Drama;2004;16;5;24.90;USA/I
133;Patriot, Der;168;Action;2000;16;3;26.50;USA/D
134;Paycheck - Die Abrechnung;114;Action;2003;12;4;17.00;USA
135;Pearl Harbor;176;Drama;2001;12;4;25.00;USA
136;Pianist, Der;143;Drama;2002;12;4;22.50;F/GB/D/PL
137;Platoon;115;Drama;1986;16;3;19.90;USA
138;Princess Bride, The;94;Action;1987;6;3;19.90;USA
139;Pulp Fiction;148;Thriller;1994;16;3;14.90;USA
140;Purpurnen Flüsse, Die;106;Drama;2000;16;3;19.90;F
141;Reisevideos auf DVD: Norwegen;60;Dokumentarfilme;2003;0;4;14.90;D
142;Resident Evil;100;Horror;2002;16;4;22.50;D/GB/F
143;Riddick - Chroniken eines Kriegers;114;Action;2004;12;5;19.90;USA
144;Ring;114;Horror;2002;16;4;17.50;USA/J
145;Road to Perdition;117;Drama;2002;16;4;21.50;USA
146;Ruby & Quentin;84;Komödie;2003;12;4;24.90;F
147;Rush Hour;98;Action;1998;12;3;27.50;USA
148;Rush Hour 2;86;Action;2001;12;4;25.00;USA
149;S.W.A.T. - Die Spezialeinheit;112;Action;2003;16;4;22.50;USA
150;Scary Movie;88;Horror;2000;16;3;24.90;USA
151;Scary Movie 2;78;Horror;2001;16;4;24.90;USA
152;Scary Movie 3;88;Horror;2003;12;4;22.90;USA
153;Schakal, Der;145;Action;1973;16;3;19.90;GB/F
154;Schatten der Wahrheit;124;Thriller;2000;16;3;21.50;USA
155;Schindlers Liste;194;Drama;1993;12;3;27.50;USA
156;School of Rock;108;Komödie;2003;12;4;23.00;USA/DE
157;Schuh des Manitu, Der;82;Komödie;2001;6;4;27.50;D
158;Schweizermacher, Die;103;Komödie;1978;6;3;29.90;CH
159;Scorpion King, The;92;Abenteuer;2002;12;4;24.90;USA/DE
160;Sherlock Holmes;128;Action;2009;12;6;27.50;USA/D
161;Shrek - Der tollkühne Held;87;Animationen;2001;0;4;25.00;USA
162;Shrek 2 - Der tollkühne Held kehrt zurück;89;Animationen;2004;0;5;25.00;USA
163;Sieben;127;Thriller;1995;16;3;22.50;USA
164;Signs - Zeichen;102;Mystery;2002;12;4;24.90;USA
165;Sixth Sense, The;107;Drama;1999;16;3;27.50;USA
166;Sleepy Hollow;101;Horror;1999;12;3;19.90;USA
167;Soldat James Ryan, Der;163;Action;1998;16;3;24.90;USA
168;Spider-Man;116;Abenteuer;2002;12;4;26.00;USA
169;Spider-Man 2;122;Action;2004;12;5;27.50;USA
170;Spiel mir das Lied vom Tod;159;Western;1968;16;3;29.90;I/USA
171;Star Wars: Episode I - Die dunkle Bedrohung;131;Action;1999;6;3;25.00;USA
172;Star Wars: Episode II - Angriff der Klonkrieg;137;Action;2002;12;4;25.00;USA
173;Star Wars: Imperium schlägt zurück, Das;122;Science-Fiction & Fantasy;1980;12;3;25.00;USA
174;Star Wars: Krieg der Sterne;120;Science-Fiction & Fantasy;1977;12;3;25.00;USA
175;Star Wars: Rückkehr der Jedi-Ritter, Die;129;Abenteuer;1983;12;3;25.00;USA
176;Starsky & Hutch - Die Zwei stehen ihren Mann;101;Action;2004;12;5;24.90;USA
177;Stirb langsam 4;129;Thriller;2007;16;5;22.50;USA
178;Terminal;124;Drama;2004;0;5;24.90;USA
179;Terminator 3 - Rebellion der Maschinen;105;Action;2003;16;4;19.90;USA/D/GB
180;The 13th Floor;100;Science-Fiction & Fantasy;1999;12;3;22.50;USA/D
181;The 6th Day;118;Action;2000;16;3;24.90;USA/CDN
182;The Fast and the Furious;102;Action;2001;16;4;22.50;USA
183;The Fast and the Furious: Tokyo Drift;104;Action;2006;12;5;24.50;USA/J
184;Tränen der Sonne;116;Action;2003;16;4;19.90;USA
185;Troja;156;Drama;2004;16;5;27.50;USA/M/GB
186;Truman Show, Die;99;Drama;1998;12;3;24.50;USA
187;Tuxedo - Gefahr im Anzug, The;94;Action;2002;12;4;22.50;USA
188;Unbreakable - Unzerbrechlich;106;Mystery;2000;16;3;24.90;USA
189;Underworld;116;Action;2003;16;4;26.50;USA/GB/H/D
190;Unglaublichen - The Incredibles, Die;111;Abenteuer;2004;6;5;27.50;USA
191;Untergang, Der;150;Drama;2004;12;5;26.00;D/I/A
192;Verdammten des Krieges, Die;109;Drama;1989;16;3;21.00;USA
193;Vergessenen, Die;77;Drama;1950;12;3;23.00;MEX
194;Verrückt nach Mary;114;Komödie;1998;12;3;24.90;USA
195;Verurteilten, Die;137;Drama;1994;12;3;27.50;USA
196;Village - Das Dorf, The;108;Drama;2004;12;5;29.90;USA
197;Was das Herz begehrt - Something's Gotta Give;123;Drama;2003;6;4;27.50;USA
198;Was Frauen wollen;121;Komödie;2000;6;3;24.90;USA
199;Wasabi - Ein Bulle in Japan;90;Action;2001;16;4;22.50;F/J
200;Welcome to the Jungle;100;Abenteuer;2003;12;4;24.90;USA
201;Werner 1 - Beinhart!;93;Animationen;1990;6;3;24.50;D
202;Werner 2 - Das muss kesseln;90;Animationen;1996;6;3;22.00;D
203;Werner 3 - Volles Rooäää!!!;78;Animationen;1999;6;3;21.50;D
204;Werner 4 - Gekotzt wird später!;76;Animationen;2003;6;4;21.50;D
205;Wickie und die starken Männer;87;Familie;2009;0;6;19.90;D
206;Wir waren Helden;132;Drama;2002;18;4;22.50;USA
207;Wunder von Bern, Das;118;Drama;2003;6;4;27.50;D
208;Wutprobe, Die;100;Komödie;2003;12;4;24.90;USA
209;X-Men;100;Action;2000;12;3;27.50;USA
210;XXX - Triple X;119;Action;2002;12;4;26.50;USA
211;Zurück in die Zukunft;116;Komödie;1985;12;3;24.00;USA
212;Zurück in die Zukunft II;108;Abenteuer;1989;12;3;22.00;USA
213;Zurück in die Zukunft III;118;Komödie;1990;12;3;19.90;USA
